id,created_at,campaign_var_1,campaign_var_2,products_purchased,signup_date,user_activity_var_1,user_activity_var_2,user_activity_var_3,user_activity_var_4,user_activity_var_5,user_activity_var_6,user_activity_var_7,user_activity_var_8,user_activity_var_9,user_activity_var_10,user_activity_var_11,user_activity_var_12,buy
1,01-01-2021,1,2,2,24-09-2020,0,0,0,0,0,0,1,1,0,0,0,0,0
2,01-01-2021,2,1,2,19-09-2020,1,0,1,0,0,0,1,0,0,0,0,0,0
3,01-01-2021,9,3,3,11-08-2021,1,0,0,0,0,0,0,0,0,0,0,0,0
4,01-01-2021,6,7,2,04-10-2017,0,0,0,0,0,0,0,0,0,0,0,0,0
5,01-01-2021,4,6,,08-06-2020,0,0,0,0,0,0,1,0,0,0,1,0,0
6,01-01-2021,3,4,3,02-07-2019,0,0,0,0,0,1,0,0,0,0,0,0,0
7,01-01-2021,5,1,1,24-07-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
8,01-01-2021,7,3,,12-12-2020,0,0,0,0,0,1,0,0,0,0,1,0,0
9,01-01-2021,13,6,3,21-06-2018,0,0,0,0,1,0,0,0,0,0,0,0,0
10,01-01-2021,3,6,2,20-10-2021,0,0,0,0,0,1,0,0,0,0,1,0,0
11,01-01-2021,1,1,1,07-01-2019,0,0,1,0,1,0,0,0,0,0,0,0,0
12,01-01-2021,7,4,,,1,0,0,0,0,1,0,1,0,0,0,0,0
13,01-01-2021,2,6,2,09-12-2019,0,0,0,0,0,0,0,0,0,0,1,0,0
14,01-01-2021,2,2,3,28-01-2017,1,0,0,0,1,0,0,0,0,0,0,0,0
15,01-01-2021,4,7,,03-05-2019,0,0,0,0,0,1,0,0,0,0,1,0,0
16,01-01-2021,7,2,,09-03-2021,0,0,0,0,0,0,0,0,0,0,0,0,0
17,01-01-2021,5,10,2,31-10-2020,1,0,0,0,1,1,0,0,0,0,0,0,0
18,01-01-2021,5,6,,20-10-2021,0,0,0,0,0,1,0,1,0,0,0,0,0
19,01-01-2021,5,2,3,12-10-2017,0,0,0,0,0,0,1,1,0,0,0,0,0
20,01-01-2021,2,2,,22-10-2020,1,0,0,0,1,1,0,1,0,0,0,0,0
21,01-01-2021,4,2,,22-07-2021,0,0,0,0,0,1,1,0,0,0,0,0,0
22,02-01-2021,9,7,,,1,0,0,0,0,0,1,0,0,0,0,0,0
23,02-01-2021,5,6,,,1,0,0,0,0,1,0,0,0,0,0,0,0
24,02-01-2021,2,3,,06-02-2021,0,0,0,0,0,0,0,1,0,0,0,0,0
25,02-01-2021,6,7,3,09-05-2021,0,0,0,0,0,0,1,0,0,0,0,0,0
26,02-01-2021,1,2,2,14-01-2020,0,0,0,0,0,0,1,0,0,0,0,0,0
27,02-01-2021,3,4,1,07-04-2021,1,0,0,0,0,0,0,0,0,0,0,0,0
28,02-01-2021,3,2,2,18-09-2019,1,0,0,0,1,0,0,0,0,0,1,0,0
29,02-01-2021,6,3,3,04-08-2020,0,0,0,0,0,0,1,0,0,0,0,0,0
30,02-01-2021,8,5,,,1,0,0,0,0,1,0,1,0,0,0,0,0
31,02-01-2021,3,1,2,16-11-2020,1,0,0,0,0,2,0,0,0,0,0,0,0
32,02-01-2021,2,1,,16-02-2021,0,0,1,0,0,1,0,0,0,0,0,0,0
33,02-01-2021,4,2,1,06-08-2020,1,0,0,0,0,1,0,0,0,0,0,0,0
34,02-01-2021,1,1,,09-07-2020,0,0,0,0,0,0,0,0,0,0,0,0,0
35,02-01-2021,8,4,1,10-07-2019,0,0,0,0,0,1,0,0,0,0,0,0,0
36,02-01-2021,7,1,,,1,0,0,0,1,0,0,1,0,0,0,0,0
37,02-01-2021,3,2,1,26-04-2020,0,0,0,0,0,1,0,1,0,0,0,0,0
38,02-01-2021,2,3,2,01-10-2021,0,0,0,0,0,1,0,0,0,0,0,0,0
39,02-01-2021,5,1,1,04-07-2020,2,0,0,0,0,0,1,1,0,0,0,0,0
40,02-01-2021,7,2,2,01-08-2020,0,0,0,0,0,0,1,1,0,0,0,0,0
41,02-01-2021,1,1,,25-04-2021,1,0,0,0,1,0,0,0,0,0,0,0,0
42,02-01-2021,1,3,3,06-10-2019,1,0,1,0,1,1,0,1,0,0,0,0,0
43,02-01-2021,12,6,3,08-10-2019,1,0,0,0,0,0,1,0,0,0,0,0,0
44,02-01-2021,3,3,3,19-06-2017,0,0,0,0,0,1,1,0,0,0,1,0,0
45,02-01-2021,10,6,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
46,02-01-2021,7,2,3,28-11-2018,0,0,0,0,0,0,1,0,0,0,0,0,0
47,02-01-2021,1,3,,08-02-2022,0,0,0,0,0,0,1,0,0,0,0,0,0
48,02-01-2021,3,3,1,08-05-2018,1,0,0,0,0,0,1,0,0,0,1,0,0
49,02-01-2021,3,3,2,26-11-2020,1,0,0,0,1,1,0,0,0,0,1,0,0
50,02-01-2021,6,3,,17-04-2021,0,0,1,0,1,0,1,0,0,0,0,0,0
51,02-01-2021,5,8,2,07-06-2020,1,0,0,0,0,0,0,0,0,0,0,0,0
52,02-01-2021,5,9,,,1,0,0,0,0,0,1,0,0,0,0,0,0
53,02-01-2021,7,6,,,0,0,0,0,0,0,0,1,0,0,0,0,0
54,02-01-2021,4,6,,10-02-2021,1,0,0,0,0,0,0,1,0,0,0,0,0
55,02-01-2021,3,4,1,09-07-2019,1,0,0,0,1,0,0,1,0,0,0,0,0
56,02-01-2021,2,9,,,2,0,0,0,0,0,0,0,0,0,0,0,0
57,02-01-2021,5,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0
58,02-01-2021,6,5,,06-07-2021,0,0,0,0,0,0,1,0,0,0,0,0,0
59,02-01-2021,1,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0
60,02-01-2021,4,7,,10-10-2019,0,0,0,0,0,0,1,1,0,0,0,0,0
61,02-01-2021,4,6,,,0,0,0,0,0,0,1,1,0,0,0,0,0
62,02-01-2021,3,7,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
63,02-01-2021,3,6,2,05-12-2019,1,0,1,0,0,1,0,0,0,0,0,0,0
64,02-01-2021,8,7,,15-07-2017,0,0,0,0,0,2,0,0,0,0,0,0,0
65,03-01-2021,2,3,,30-06-2021,1,0,0,0,0,1,0,0,0,0,1,0,0
66,03-01-2021,5,1,,,1,0,0,0,1,0,0,1,0,0,0,0,0
67,03-01-2021,3,3,,05-06-2018,1,0,0,0,1,1,0,0,0,0,0,0,0
68,03-01-2021,5,6,3,18-10-2019,0,0,0,0,0,1,0,0,0,0,0,0,0
69,03-01-2021,2,5,1,16-06-2019,0,0,0,0,0,1,1,0,0,0,0,0,0
70,03-01-2021,1,5,1,19-07-2021,0,0,0,0,0,1,0,0,0,0,0,0,0
71,03-01-2021,5,9,2,23-06-2021,0,0,0,0,1,1,1,0,0,0,0,0,0
72,03-01-2021,14,12,,,1,0,0,0,0,0,0,1,0,0,0,0,0
73,03-01-2021,3,3,1,18-07-2018,0,0,1,0,0,0,1,0,0,0,1,0,0
74,03-01-2021,6,6,3,21-04-2018,0,0,0,0,0,1,0,0,0,0,0,0,0
75,03-01-2021,12,7,1,15-08-2021,0,0,0,0,0,1,0,0,0,0,0,0,0
76,03-01-2021,5,2,2,26-06-2021,0,0,0,0,0,1,0,1,0,0,0,0,0
77,03-01-2021,6,8,3,30-06-2018,0,0,0,0,0,1,0,1,0,0,0,0,0
78,03-01-2021,2,5,2,10-10-2019,0,0,0,0,0,1,1,0,0,0,0,0,0
79,03-01-2021,10,5,1,13-02-2022,0,0,0,0,0,1,1,0,0,0,0,0,0
80,03-01-2021,4,4,,05-11-2021,0,0,0,0,0,0,0,1,0,0,1,0,0
81,03-01-2021,9,6,,03-12-2016,1,0,0,0,0,1,0,0,0,0,0,0,0
82,03-01-2021,7,6,1,10-07-2018,0,0,0,0,1,1,0,0,0,0,1,0,0
